ENSSSCG00000000936	SLC6A15	1203
ENSSSCG00000000937	MYF5	0
ENSSSCG00000000939	ACSS3	0
ENSSSCG00000000940	PPFIA2	0
ENSSSCG00000000941	METTL25	261
ENSSSCG00000000943	OTOGL	0
ENSSSCG00000000948	SYT1	0
ENSSSCG00000000950	E2F7	18
ENSSSCG00000000951	CSRP2	4058
ENSSSCG00000000952	ZDHHC17	760
ENSSSCG00000000955	TBC1D22A	170
ENSSSCG00000000958	DYRK2	333
ENSSSCG00000000959	LARGE1	173
ENSSSCG00000000960	KLHDC7B	0
ENSSSCG00000000963	SYCE3	0
ENSSSCG00000000964	LMF2	2171
ENSSSCG00000000965	NCAPH2	919
ENSSSCG00000000967		0
ENSSSCG00000000968	SBF1	241
ENSSSCG00000000970	PPP6R2	869
ENSSSCG00000000971	HDAC10	797
ENSSSCG00000000972	TUBGCP6	626
ENSSSCG00000000973	SELENOO	987
ENSSSCG00000000974	TRABD	978
ENSSSCG00000000975	PANX2	179
ENSSSCG00000000978	MLC1	0
ENSSSCG00000000980	ALG12	326
ENSSSCG00000000981	CRELD2	888
ENSSSCG00000000982	TTLL8	0
ENSSSCG00000000983		10
ENSSSCG00000000985	EXOC2	3404
ENSSSCG00000000991	FOXQ1	12
ENSSSCG00000000994	GMDS	162
ENSSSCG00000000997	PPP1R3G	44
ENSSSCG00000000998	RPP40	1091
ENSSSCG00000000999	CDYL	439
ENSSSCG00000001000	ECI2	1267
ENSSSCG00000001001		179
ENSSSCG00000001002	PRPF4B	2744
ENSSSCG00000001004	SLC22A23	6
ENSSSCG00000001005		0
ENSSSCG00000001008	BPHL	381
ENSSSCG00000001009	RIPK1	1246
ENSSSCG00000001010	WRNIP1	1478
ENSSSCG00000001011	SERPINB1	380
ENSSSCG00000001021		18
ENSSSCG00000001022	SSR1	6619
ENSSSCG00000001024	RIOK1	1265
ENSSSCG00000001025	DSP	1
ENSSSCG00000001027	BMP6	3251
ENSSSCG00000001033	SLC35B3	876
ENSSSCG00000001036	TFAP2A	24
ENSSSCG00000001038		3025
ENSSSCG00000001040	C6orf52	1
ENSSSCG00000001041	PAK1IP1	2605
ENSSSCG00000001042	MAK	22
ENSSSCG00000001045	ELOVL2	8
ENSSSCG00000001048	ADTRP	0
ENSSSCG00000001049	HIVEP1	350
ENSSSCG00000001052	PHACTR1	489
ENSSSCG00000001053	TBC1D7	625
ENSSSCG00000001056	RANBP9	1892
ENSSSCG00000001057	MCUR1	1528
ENSSSCG00000001060		0
ENSSSCG00000001061	JARID2	1723
ENSSSCG00000001062	DTNBP1	249
ENSSSCG00000001063	MYLIP	573
ENSSSCG00000001064		78
ENSSSCG00000001065	ATXN1	127
ENSSSCG00000001067	STMND1	0
ENSSSCG00000001068	CAP2	0
ENSSSCG00000001070	FAM8A1	798
ENSSSCG00000001072	NHLRC1	99
ENSSSCG00000001073	TPMT	2056
ENSSSCG00000001074	KDM1B	762
ENSSSCG00000001075	DEK	3389
ENSSSCG00000001076	RNF144B	248
ENSSSCG00000001078	MBOAT1	946
ENSSSCG00000001080	CDKAL1	518
ENSSSCG00000001083		0
ENSSSCG00000001085	DCDC2	1
ENSSSCG00000001087	MRS2	1461
ENSSSCG00000001088		2
